Cultivar,Cv_Azul,Cv_Blanco,Cv_Cacahuacintle,Cv_Chalqueno,Cv_Conico,Cv_Elotero,Cv_Olotillo,Cv_Pepitilla,Cv_Tabloncillo,Cv_Tuxpeno,Cv_Vandeno,Cv_Zapalote
Cv_Azul,0,0.16,0.21,0.19,0.55,0.58,0.52,0.60,0.57,0.53,0.59,0.56
Cv_Blanco,0.16,0,0.18,0.22,0.54,0.57,0.51,0.59,0.55,0.58,0.52,0.60
Cv_Cacahuacintle,0.21,0.18,0,0.17,0.56,0.53,0.58,0.55,0.61,0.54,0.57,0.52
Cv_Chalqueno,0.19,0.22,0.17,0,0.59,0.55,0.54,0.57,0.53,0.56,0.60,0.58
Cv_Conico,0.55,0.54,0.56,0.59,0,0.15,0.20,0.18,0.56,0.52,0.58,0.54
Cv_Elotero,0.58,0.57,0.53,0.55,0.15,0,0.19,0.16,0.53,0.57,0.55,0.61
Cv_Olotillo,0.52,0.51,0.58,0.54,0.20,0.19,0,0.21,0.58,0.54,0.52,0.57
Cv_Pepitilla,0.60,0.59,0.55,0.57,0.18,0.16,0.21,0,0.55,0.59,0.56,0.53
Cv_Tabloncillo,0.57,0.55,0.61,0.53,0.56,0.53,0.58,0.55,0,0.17,0.20,0.16
Cv_Tuxpeno,0.53,0.58,0.54,0.56,0.52,0.57,0.54,0.59,0.17,0,0.18,0.22
Cv_Vandeno,0.59,0.52,0.57,0.60,0.58,0.55,0.52,0.56,0.20,0.18,0,0.19
Cv_Zapalote,0.56,0.60,0.52,0.58,0.54,0.61,0.57,0.53,0.16,0.22,0.19,0
