Site,Landscape,Carabidae,Staphylinidae,Formicidae,Araneae,Coccinellidae,Aphididae,Cicadellidae,Chrysomelidae,Curculionidae,Syrphidae,Apidae,Lepidoptera_larvae,Collembola,Acari
P01,Organic_field,23,7,33,7,4,10,15,9,5,9,7,2,16,17
P02,Organic_field,9,7,27,1,3,22,6,4,1,11,6,0,8,22
P03,Organic_field,18,6,33,13,5,19,18,5,4,3,8,4,22,32
P04,Organic_field,3,6,17,9,1,21,8,9,6,2,2,2,27,13
P05,Organic_field,18,8,34,9,4,16,6,7,5,5,8,3,38,19
P06,Organic_field,11,8,15,2,8,20,9,3,3,2,4,0,15,11
P07,Organic_field,19,3,24,7,2,16,6,2,4,8,10,2,20,34
P08,Organic_field,8,11,13,15,7,15,8,2,5,1,4,0,21,9
P09,Conventional,3,3,14,1,0,49,18,9,3,1,0,6,4,6
P10,Conventional,6,3,3,2,1,32,28,14,10,3,3,5,8,0
P11,Conventional,11,1,10,3,0,57,30,4,13,1,0,5,7,2
P12,Conventional,2,3,12,1,2,14,17,7,10,1,1,13,6,3
P13,Conventional,1,2,2,0,0,30,42,9,9,0,1,11,7,3
P14,Conventional,3,2,3,1,0,62,12,24,8,0,1,4,6,5
P15,Conventional,2,3,7,4,3,18,18,15,6,1,1,9,4,5
P16,Conventional,4,1,9,0,2,19,25,6,12,2,0,18,5,1
P17,Hedgerow,22,9,13,18,3,4,1,5,11,10,17,3,14,15
P18,Hedgerow,11,13,26,25,10,2,5,0,10,12,12,3,24,20
P19,Hedgerow,23,3,28,18,11,2,7,6,6,18,19,4,11,14
P20,Hedgerow,17,5,21,13,10,2,7,7,5,6,19,1,25,19
P21,Hedgerow,25,6,18,11,13,1,6,3,4,18,14,1,18,23
P22,Hedgerow,14,13,11,9,3,4,4,1,7,7,21,2,42,26
P23,Hedgerow,12,20,9,14,11,5,6,1,6,6,8,3,20,32
P24,Hedgerow,20,15,19,12,3,0,2,3,5,15,7,2,20,32
