Accession,Region,PlantHeight_cm,EarHeight_cm,DaysToFlower,EarLength_cm,KernelRows,KernelWeight_g,GrainYield_t_ha,LeafWidth_cm
ACC-001,Highland,182.7,78.7,89,11.1,12,33,4.1,9
ACC-002,Highland,206.1,92.6,91,14.6,14,33.9,2.1,9.5
ACC-003,Highland,174.3,72.2,103,11.9,12,32.7,3.04,8.3
ACC-004,Highland,192.1,67.2,101,14.6,12,31.1,2.94,8.1
ACC-005,Highland,164.8,83.1,97,14.3,12,31.8,3.13,
ACC-006,Highland,191.2,102,96,12.8,12,33.3,3.43,7.6
ACC-007,Highland,205.4,83.4,82,12.7,12,34.5,2.76,8.5
ACC-008,Highland,174.8,103,94,12.9,12,28.2,3.41,8.2
ACC-009,Highland,174.3,108.2,93,13.6,14,31,2.36,8.5
ACC-010,Highland,161.8,79.1,92,14.4,12,36.1,3.36,8.6
ACC-011,Highland,199.4,78.1,103,12.2,14,36.1,3.08,7.6
ACC-012,Highland,190.3,79.2,94,11.9,12,33.6,3.86,8.7
ACC-013,Highland,175.3,95.3,98,13.2,14,25.7,3.15,8.1
ACC-014,Highland,198.5,81.3,100,14.5,12,32.5,3.02,7.5
ACC-015,Highland,161.3,82.6,101,14.9,12,31.1,2.75,7.6
ACC-016,Valley,228.7,112,81,16.9,14,36.8,4.71,10.7
ACC-017,Valley,220.7,109.8,80,16.1,14,37.8,6.33,9.5
ACC-018,Valley,236.6,131.7,86,18.5,14,39,5.32,9.3
ACC-019,Valley,244.2,141.8,85,17,12,40.5,5.38,9.9
ACC-020,Valley,259.6,132.7,81,17.3,14,37.6,5.55,11.6
ACC-021,Valley,228.1,133.7,82,16.5,14,36.2,5.37,10.1
ACC-022,Valley,238.5,118.5,77,16,12,41.8,5.1,8.5
ACC-023,Valley,218.9,122.6,76,22,18,39.5,5.45,10.3
ACC-024,Valley,219.9,129.6,74,18.2,16,38.7,5.53,11.1
ACC-025,Valley,238.1,139,84,15.8,14,41,5.56,9.9
ACC-026,Valley,220.2,136,82,21.3,16,34.6,5.18,10.8
ACC-027,Valley,238,113.1,80,15.6,12,37.1,5.15,10.2
ACC-028,Valley,223.4,128.9,80,18.8,16,33.2,5.24,9.3
ACC-029,Valley,215.9,119.6,77,20.1,16,35.1,3.98,10.2
ACC-030,Valley,219.3,105.8,79,16.3,12,41.6,4.74,9.6
ACC-031,Coast,202.5,94.1,65,17.6,18,25.6,3.69,10.4
ACC-032,Coast,175.7,121.1,72,17.6,14,32.5,3.42,10.5
ACC-033,Coast,237.8,100.7,63,18.3,16,30.7,4.13,10.3
ACC-034,Coast,203.9,106,70,16.1,16,31.9,3.52,10.6
ACC-035,Coast,233,99.5,68,14.5,16,23.6,3.65,10
ACC-036,Coast,211.6,92.5,70,16.2,18,32.1,3.8,10.3
ACC-037,Coast,199.7,111.3,63,14.8,14,28.6,3.52,9.2
ACC-038,Coast,217.1,94,68,18.3,16,31.3,3.73,12.1
ACC-039,Coast,194.1,113.4,67,13.7,14,31.2,4.31,10.5
ACC-040,Coast,219.2,97.7,63,16.6,16,34.8,3.39,10.3
ACC-041,Coast,195.4,116.7,71,15.4,16,21.8,4.17,10.5
ACC-042,Coast,199.8,123.3,68,16.5,16,27.3,4.34,11.6
ACC-043,Coast,212.8,103.5,61,14,16,25.5,4.75,10.7
ACC-044,Coast,203.6,93.1,68,13.9,14,29.7,4,10.5
ACC-045,Coast,224.2,117.5,67,16.6,16,24.9,3.2,10.9
