Site,Habitat,Quercus_sp,Pinus_sp,Alnus_sp,Salix_sp,Typha_sp,Cyperus_sp,Juncus_sp,Bouteloua_sp,Muhlenbergia_sp,Festuca_sp,Bromus_sp,Arbutus_sp,Baccharis_sp,Senecio_sp,Eryngium_sp,Lupinus_sp,Sagittaria_sp,Nymphaea_sp,Polygonum_sp,Solanum_sp,Opuntia_sp,Agave_sp
S01,Forest,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0
S02,Forest,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
S03,Forest,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
S04,Forest,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
S05,Forest,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0
S06,Forest,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
S07,Forest,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
S08,Forest,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
S09,Forest,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
S10,Forest,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
S11,Grassland,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1
S12,Grassland,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1
S13,Grassland,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0
S14,Grassland,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0
S15,Grassland,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
S16,Grassland,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0
S17,Grassland,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0
S18,Grassland,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1
S19,Grassland,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0
S20,Grassland,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1
S21,Wetland,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
S22,Wetland,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0
S23,Wetland,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0
S24,Wetland,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
S25,Wetland,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
S26,Wetland,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
S27,Wetland,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
S28,Wetland,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
S29,Wetland,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0
S30,Wetland,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1
