Profile,pH,OrganicMatter_pct,Clay_pct,Sand_pct,CEC_cmol_kg,Texture,Drainage,Calcareous,Slope_pct
PR-01,5.3,6.9,47,14,29.6,Clay,Poor,yes,4
PR-02,5.5,6.8,45,27,29.9,Clay loam,Moderate,no,8
PR-03,5.5,4.7,43,15,29.9,Clay loam,Moderate,no,0
PR-04,5,5.9,38,22,28.3,Clay,Poor,no,3
PR-05,6,5.9,41,23,29.9,Clay,Poor,no,1
PR-06,5.3,7.5,43,11,24.9,Clay loam,Poor,no,3
PR-07,5.9,6,52,18,30.2,Clay,Poor,no,2
PR-08,5.3,7.9,44,27,26.7,Clay,Poor,no,3
PR-09,5.3,4.7,42,21,28.6,Clay loam,Poor,no,4
PR-10,5,6.5,46,31,28.8,Clay,Moderate,no,4
PR-11,5.4,6.9,42,12,29.7,Clay,Poor,no,2
PR-12,5,6.2,37,20,29.6,Clay loam,Poor,no,0
PR-13,7,3.4,19,59,13.1,Loam,Moderate,yes,5
PR-14,6.6,3.7,19,26,17.4,Loam,Good,no,11
PR-15,6.6,4.8,28,38,15.8,Silt loam,Good,yes,8
PR-16,6.9,3.3,19,52,14.6,Loam,Good,no,9
PR-17,6.7,3.4,17,38,12.7,Loam,Good,yes,11
PR-18,6.8,2.6,22,40,12.7,Loam,Good,no,6
PR-19,7.2,4.4,22,38,20.7,Loam,Moderate,yes,11
PR-20,7,4.6,20,38,19.2,Silt loam,Moderate,no,5
PR-21,6.9,2.8,14,30,17.8,Loam,Good,yes,6
PR-22,6.6,2.4,28,37,12.7,Loam,Good,no,11
PR-23,6.8,2,20,52,14.3,Loam,Good,no,11
PR-24,6.8,2.6,13,48,15.2,Loam,Good,no,8
PR-25,7.8,0.6,8,73,6.9,Sand,Excessive,yes,16
PR-26,7.8,0.9,10,73,6.8,Sandy loam,Excessive,yes,13
PR-27,8.1,2.4,7,78,2.7,Sandy loam,Excessive,yes,13
PR-28,7.9,0.9,6,68,6,Sandy loam,Excessive,yes,11
PR-29,7.8,1.5,8,74,4.5,Sand,Excessive,yes,12
PR-30,8.4,1.4,8,63,3.8,Sandy loam,Excessive,yes,10
PR-31,7.2,1.9,7,67,9,Sandy loam,Excessive,yes,16
PR-32,7.8,0.5,15,69,8.1,Sand,Excessive,yes,12
PR-33,8.4,0.8,16,69,7.9,Sandy loam,Excessive,yes,14
PR-34,7.8,2.2,7,85,6.4,Sandy loam,Excessive,no,16
PR-35,7.7,1.2,9,83,5.4,Sandy loam,Good,yes,10
PR-36,8.2,1.9,15,77,6,Sandy loam,Good,yes,16
